video_id,comment
MieBlLblZxQ,"<a href=""https://www.youtube.com/watch?v=MieBlLblZxQ&amp;t=3908"">1:05:08</a> di pluit, gw hanya amaze ma 1 rs.. kakek gw sblmnya di rs lain, daerah pluit jg.. rs elit.. bahkan terlengkap katanya.. dokternya pun hebat2.. but what? Tulang punggungnya patah n di cek dll .. &quot;maklum penyakit org tua&quot;  lalu obat kemudian banyak berdatangan..<br><br>Lalu saat sembuh, plg krn dia bosan.. lalu harus masuk lg.. tp ke rs yg gw amaze ini.. pdhl pake bpjs.. tadinya gw under estimate, krn masi muda + gelar + pengalaman jauh drpd rs sblmnya..<br><br>But.. &quot;pak saya ijin cek feses tapi klo di rs sblmnya pernah, itu kapan dan klo tgl nya masi valid, saya pake itu aj..&quot;<br><br>&quot;Knp dok?&quot;<br><br>&quot;Retakannya aneh.. bkn krn keropos atau normal harusnya&quot;<br><br>Lalu di cek... N blg cancer apa gt... Lalu di cek lebih lg... N fix cancer...<br><br>Gw kek digampar... Sangat idealis sekali dan niat sekali.. yg tadinya gw anggap remeh malah justru lbh niat dan lbh mengatasi masalah...<br><br>Bahkan ampe subuh bs saling wa untuk perhatikan keadaan kakek gw...<br><br>2.  Dan saat gw ke sana... Untuk penyakit gw sendiri... Dokter syaraf...  Gw ceritain gejalanya... Lalu dia blg &quot;pasti u dah tau kan, u pasti bs cek google... Sini sebut... Biar gw pastiin u bener atau salah&quot;<br><br>&quot;Ya dok... Cluster headache&quot; <br><br>&quot;Betul... Lalu u tau kan itu ga bs sembuh... Hanya bs dibikin reda dan akan sesekali muncul...&quot;<br><br>Lalu dijelaskan itu knp... N dikasi obat...<br><br> &quot; Nih 1 obat dr dokter yg dulu bnr... Ini cafein dosis tinggi... Tp klo ga gt mempan... Ini obat saraf... Inget... Ini sebisanya jangan diminum dan klo diminum 1 aj sehari.... Klo masi gak efek... 2 dengan jarak 12 jam... Klo masi gak efek... 3 dengan jarak 8 jam... Tapi saat butuh 3, u lapor... By wa gpp... Krn ini obat keras...&quot;<br><br>Saat ternyata bnran gw butuh 3,... Gw panik... Krn brarti parah...gw dtg lg ke rs...<br><br>&quot;Oh ga usa takut... Yg kasus kek u biasa 160-180ml sehari... Ini u bru minum 3x30ml... Gw ngmg kek gt spy u ga asal maen minum sehari 3  lsg&quot;<br><br>Image &quot;cari omset&quot; sama sekali ga ada... Maaf... Byk dan sering saya temui yg image seperti itu... Tp dokter2 di rs ini... Gak... Bahkan bnr2 idealis....ga mandang duit u pula... Ga liat u bpjs atau bkn...<br><br>Penyakit yg sama gw pernah konsul sblmnya jauh bertahun2 di komplek elit dkt daerah gw... <br><br>Gw ampe di pingpong 5 specialist berbeda... &quot;Oh ini kyknya lambung... Ada maag kan&quot;    &quot;oh ini mata nih... Plus minusnya jomplang&quot;    &quot;oh ini apa nih... Syaraf&quot;  <br><br>At the end di RS elit tersebut ga ada hasil.... Byr konsul 5 spesialist dan obat... Malah akhirnya gw nemu sendiri cara atasi... Walau wkt itu lom tau jenis penyakit gw...<br><br>Ya... Dekat area gw ada 3 rs... 1 yg terkenal lengkap alat dan mesinya... 1 terkenal elit nya... 1 lg... Kek agak murah dan kurang diminati krn kek kurang aj...<br><br>Tapi malah yg agak kurang itu yg punya dokter yg sangat hebat,idealis dan sesuai profesinya...<br><br>Seumur hidup jg walau ke kemayoran, gw ga pernah dapat kacamata yg pas buat mata gw... Disana... Cek aj... Bs 2 jam bahkan lebih dan untuk memastikan detail... Gilanya... Bis bikin lensa pake data dr hasil cek disana ... Seumur hidup itu yg sangat pas buat gw... Nama yg sama dengan rs tersebut juga nama sebuah uni kedokteran...<br><br>Salute gw ma dokter2 disana... Thx... Dan maaf pernah under estimate..."
MieBlLblZxQ,"the best banget si, ini bener! nyokap urus STR skr ribet karena ada ketentuan itu jadi gejolak IDI sama Kemkes"
MieBlLblZxQ,kenapa biaya pengobatan dengan perantara dokter di Malaysia lebih murah dari Indonesia
MieBlLblZxQ,"tebak berapa x bilang ok ,bung coki"
MieBlLblZxQ,"Apapun pekerjaanya, Dokter, Tentara, Guru, Polisi, Damkar, DPR, Presiden dll berhak untuk kaya atau tidak hidup sengsara. Yang tidak diperbolehkan adalah menyalahgunakan hak istimewanya."
MieBlLblZxQ,"Edan, keren bgt host nya bisa meres kepala dan emosi dokter tirta ampe laper bos."
MieBlLblZxQ,"Baru kali ini 1,5 jam ku tonton tanpa skip"
MieBlLblZxQ,semua org pinter arogan ahahahaha
MieBlLblZxQ,wow
MieBlLblZxQ,"<a href=""https://www.youtube.com/watch?v=MieBlLblZxQ&amp;t=4509"">1:15:09</a> sebanyak itu pada salah diagnosis."
MieBlLblZxQ,Ini podcast paling daging sih. Sejauh ini masih bisa menganapisa pembicaraan mereka. Sumpah keren bangett👍👍👍
MieBlLblZxQ,"banyakin konten seperti ini, cocok untuk awam seperti saya sembari belajar"
MieBlLblZxQ,Coki beo
MieBlLblZxQ,Wooow sangat berisi podcast nya
MieBlLblZxQ,Lo😊
MieBlLblZxQ,Ijazah UGMnya asli ga ya *eh
MieBlLblZxQ,Aslii krenn bgt ni obrolaann
MieBlLblZxQ,🎉🎉🎉
MieBlLblZxQ,"<a href=""https://www.youtube.com/watch?v=MieBlLblZxQ&amp;t=377"">6:17</a><br><a href=""https://www.youtube.com/watch?v=MieBlLblZxQ&amp;t=578"">9:38</a>"
MieBlLblZxQ,"<a href=""https://www.youtube.com/watch?v=MieBlLblZxQ&amp;t=857"">14:17</a> gada yg peduli blok, mau itu temen esempe lu mau itu temen nenek lu"
MieBlLblZxQ,Dokter di IGD tempat aku kerja goblok semua 😂..mau ngasih teraphy ke pasien harus nunggu konsulan dari spesialis...kerna dokter IGD nya gak berani buat ngasih teraphy
MieBlLblZxQ,Apa bisa trust pada jas selain putih?
MieBlLblZxQ,"hmnn jadi keinget lagi almarhum adik perempuan saya juga meninggal karena salah diagnosis. hmnn bingung juga sih kalau mau lurus nyalahin dokter, posisinya ga paham karna ya gimana yah... sudah ikhlas dengan apa yang terjadi juga tapi saya berharap tinggi untuk dokter dokter generasi sekarang untuk lebih kompeten"
MieBlLblZxQ,Orang ini wow... Wow sekali
MieBlLblZxQ,kwek kwek mainya Dokter dokteran aja biyar tambah keren
MieBlLblZxQ,&quot;Dokter yang pinter akan melihat pov lain&quot; -dr. tirta 2025
MieBlLblZxQ,"<a href=""https://www.youtube.com/watch?v=MieBlLblZxQ&amp;t=4384"">1:13:04</a>-<a href=""https://www.youtube.com/watch?v=MieBlLblZxQ&amp;t=4420"">1:13:40</a>. Catat guys patut di coba nih😆"
MieBlLblZxQ,Inti dari semua pembahasan ini adalah pisang molen WKWKWK
MieBlLblZxQ,SEHAT tapi burik kaya kita... wkwk
MieBlLblZxQ,Ngasih bensin🤣🤣🤣
MieBlLblZxQ,Meanfull banget
MieBlLblZxQ,"<a href=""https://www.youtube.com/watch?v=MieBlLblZxQ&amp;t=2342"">39:02</a>"
MieBlLblZxQ,"Bisnis gelap di MANGKOK4D, Modal receh doang jadi jutawann. Tidak Menjanjikan Tapi Membuktikan 🔥"
MieBlLblZxQ,suara mic nya kurang kenceng
MieBlLblZxQ,"Saran bg, bahas sejarah merk brand HP 😁"
MieBlLblZxQ,"Lemak x pembahasaannya, tiap detik gak da yg percuma"
MieBlLblZxQ,"Baru beberapa minggu lalu kejadian gini. Dokternya nyuruh buat beli obat di beliau dgn harga 950ribu dan transfer ke rekening beliau pribadi, asumsi saya obat tersebut adalah obat yg original racikan beliau pribadi, ternyata pas saya ambil obatnya ke RS, itu obat dijual bebas di shop** dengan harga 450ribuan😂agak lucu yaa seorang sales kemakan upselling dokter. Emang bener, kita dateng kesana dengan membawa rasa &quot;trust&quot;, beres dr situ gamau lagi kesana, mending pindah RS."
MieBlLblZxQ,Dokter yg salah gatau ngasih obat juga ada dan itu di RS besar😢
MieBlLblZxQ,SDM indonesia emas saat kecerdasan rata2 penduduk kayak gini
MieBlLblZxQ,"buat guest kyk dr tirta, better mic-nya jgn yg direct sih"
MieBlLblZxQ,podcast nya suara nya kekecilan bang udah gw pake speaker bluetooth masih kecil pas edit naikin aja volume nya
MieBlLblZxQ,"Gilakkkk cipeng dari jaman rambut pink keren bgt lu, makin makin banyak ilmu yg gua dapet dari dia. Sehat terus orang hebat"
MieBlLblZxQ,"saya juga sudah pernah kena salah diagnosa. udh ke dr spesialis, 10 hari dikasih obat maag aja perut udh sakiit sekali buat bergerak aja sakit. semua makanan ga ad yg masuk keluar semua. akhirnya ke ugd, dikasih selang dari idung buat ngeluarin cairan dilambung warnanya  ijo gelap gitu. Udh di rontgen juga. akhirnya diagnosa katanya usus besar lengket mau dipotong bagian itu. setelah dibedah lebar,kata dokternya dia cium bau khas usus buntu yg bermasalah,terus perut dirobek dari atas ampek bawah karena katanya sekalian aja,biar g kerja dua kali, kalo harus nutup dan buka lagi di bagian usus buntu. usus buntu udah hitam saat ditunjukan diwadah. kasus paling kocak diidupku. sekarang ada bekas sayatan horisontal berkeloid sepanjaaaang itu di badan cuma gara2 salah diagnosa. nyeseg banget rasanya. nyeseg."
MieBlLblZxQ,"Daging thok cokkkkk, kelas 💪👍"
MieBlLblZxQ,Dr Tirta for Kemenkes 2027
MieBlLblZxQ,Apakah program pengobatan TB termasuk bisnis obat juga?
